,test_loss,test_acc,test_recall,test_precision,test_f1,k,i,ckpt
0,0.8061562776565552,0.7339382767677307,0.7339382171630859,0.7310260534286499,0.7339382171630859,0,6,lightning_logs/version_8/checkpoints/model-0-6-epoch=10-valid_loss=8.25E-01.ckpt
1,1.0527477264404297,0.46096402406692505,0.46096402406692505,0.39842337369918823,0.46096402406692505,1,1,lightning_logs/version_12/checkpoints/model-1-1-epoch=02-valid_loss=1.04E+00.ckpt
2,0.8939521312713623,0.6398277282714844,0.6398277282714844,0.636722207069397,0.6398277282714844,2,3,lightning_logs/version_23/checkpoints/model-2-3-epoch=08-valid_loss=9.29E-01.ckpt
3,0.8489840626716614,0.6891148090362549,0.6891148090362549,0.6906372308731079,0.6891148090362549,3,5,lightning_logs/version_34/checkpoints/model-3-5-epoch=12-valid_loss=9.34E-01.ckpt
4,0.8398484587669373,0.7009548544883728,0.700954794883728,0.6979492902755737,0.700954794883728,1,9,lightning_logs/version_20/checkpoints/model-1-9-epoch=22-valid_loss=8.48E-01.ckpt
5,0.9237242341041565,0.6030386686325073,0.6030386686325073,0.5972879528999329,0.6030386686325073,1,4,lightning_logs/version_15/checkpoints/model-1-4-epoch=06-valid_loss=9.22E-01.ckpt
6,0.8137016296386719,0.7272127866744995,0.7272127866744995,0.7263665199279785,0.7272127866744995,2,9,lightning_logs/version_29/checkpoints/model-2-9-epoch=20-valid_loss=8.51E-01.ckpt
7,1.0132882595062256,0.5393515229225159,0.5393515229225159,0.4371712803840637,0.5393515229225159,1,2,lightning_logs/version_13/checkpoints/model-1-2-epoch=00-valid_loss=1.03E+00.ckpt
8,0.791487455368042,0.7511330842971802,0.7511330246925354,0.7460476160049438,0.7511330246925354,0,5,lightning_logs/version_7/checkpoints/model-0-5-epoch=14-valid_loss=8.19E-01.ckpt
9,1.0448156595230103,0.4741089940071106,0.4741089940071106,0.41738730669021606,0.4741089940071106,1,3,lightning_logs/version_14/checkpoints/model-1-3-epoch=02-valid_loss=9.91E-01.ckpt
10,0.891833484172821,0.6458130478858948,0.6458130478858948,0.6494567394256592,0.6458130478858948,3,3,lightning_logs/version_32/checkpoints/model-3-3-epoch=10-valid_loss=9.87E-01.ckpt
11,0.8087542653083801,0.733211874961853,0.733211874961853,0.7400495409965515,0.733211874961853,3,9,lightning_logs/version_39/checkpoints/model-3-9-epoch=13-valid_loss=8.66E-01.ckpt
12,0.8486648201942444,0.6903911828994751,0.6903911828994751,0.6933573484420776,0.6903911828994751,3,6,lightning_logs/version_35/checkpoints/model-3-6-epoch=04-valid_loss=9.13E-01.ckpt
13,0.7373493313789368,0.8059865832328796,0.8059865236282349,0.7981737852096558,0.8059865236282349,0,9,lightning_logs/version_11/checkpoints/model-0-9-epoch=25-valid_loss=7.55E-01.ckpt
14,0.8712766766548157,0.6658523082733154,0.6658523082733154,0.6675704717636108,0.6658523082733154,2,6,lightning_logs/version_26/checkpoints/model-2-6-epoch=10-valid_loss=9.10E-01.ckpt
15,0.856101393699646,0.6805648803710938,0.6805648803710938,0.6804713606834412,0.6805648803710938,4,6,lightning_logs/version_40/checkpoints/model-4-6-epoch=02-valid_loss=9.65E-01.ckpt
16,0.9290758371353149,0.611056387424469,0.6110564470291138,0.5107226967811584,0.6110564470291138,0,2,lightning_logs/version_4/checkpoints/model-0-2-epoch=29-valid_loss=9.26E-01.ckpt
17,0.7826625108718872,0.7593492269515991,0.7593492269515991,0.7499194145202637,0.7593492269515991,2,7,lightning_logs/version_27/checkpoints/model-2-7-epoch=05-valid_loss=9.23E-01.ckpt
18,0.893744170665741,0.6412673592567444,0.6412673592567444,0.6483460068702698,0.6412673592567444,2,4,lightning_logs/version_24/checkpoints/model-2-4-epoch=12-valid_loss=9.08E-01.ckpt
19,0.9099254012107849,0.6252285838127136,0.6252285838127136,0.6289941668510437,0.6252285838127136,3,2,lightning_logs/version_31/checkpoints/model-3-2-epoch=14-valid_loss=9.83E-01.ckpt
20,0.7970122694969177,0.7440131902694702,0.744013249874115,0.7358598709106445,0.744013249874115,2,8,lightning_logs/version_28/checkpoints/model-2-8-epoch=10-valid_loss=8.70E-01.ckpt
21,1.022498369216919,0.5030343532562256,0.5030343532562256,0.4432539939880371,0.5030343532562256,1,5,lightning_logs/version_16/checkpoints/model-1-5-epoch=05-valid_loss=1.01E+00.ckpt
